algorithm,nodes,interference,sd_interference,hops,sd_hops,distance,sd_dist,totalTraffic,cluster
2,250,17.308,23.845778158827187,0.856,0.3510897321198664,338.7052044315338,131.23711955760922,2249.9772287607193,None
3,250,13.404,24.177691866677435,0.856,0.3510897321198664,349.4335191345215,126.16541761047526,2249.9772287607193,None
4,250,1.952,1.3790199418427525,10.508,4.903257692595809,454.04484400606157,183.1915282454727,13843.334181189537,None
5,250,38.248,22.870472142043774,2.892,0.4736412144229038,371.58433725738524,125.68785691861856,4672.2044669389725,None
6,250,29.712,22.47676702731066,1.864,0.39686773615399773,428.4342906455994,113.64108165399605,3457.262367606163,None
7,250,12.712,17.339580617765822,1.624,0.5679999999999992,372.4078090686798,117.51184575608696,3134.44680249691,None
8,250,63.38,26.394158444625585,0.98,0.13999999999999985,332.71425689697264,114.19302019991288,2388.742155790329,None
1,250,71.984,28.116182955728533,0.0,0.0,306.9033479156494,115.90644810104624,1241.464194893837,None
2,250,16.56,23.114982154438266,0.86,0.34698703145794985,335.6007427978516,141.6449812918615,2324.1011741161346,None
3,250,12.236,22.85774057075633,0.86,0.34698703145794985,337.78760399436953,122.05517550196888,2324.1011741161346,None
4,250,2.072,1.725924679700708,9.94,4.659656639710699,406.94054284191134,165.7455693512133,13290.619067192078,None
5,250,34.124,20.070391725125827,2.876,0.49459478363606213,334.34062220954894,116.89536492486734,4782.450670361519,None
6,250,19.86,18.030207985489252,1.86,0.40049968789001417,396.20507738113406,85.112381949535,3545.823998093605,None
7,250,10.796,17.192393201645906,1.824,0.4301441618806432,353.029188041687,118.57179913548498,3469.790325522423,None
8,250,56.684,25.78651089232507,0.98,0.13999999999999985,312.7235129852295,115.3543909955356,2452.0466899871826,None
1,30,24.6,7.692420511993176,0.0,0.0,323.9410776774088,88.31068669784823,154.22741281986237,Weak
2,30,10.2,8.65024084443125,0.8333333333333334,0.3726779962499649,348.982177734375,100.11643042662344,285.2936420440674,Weak
3,30,7.7,8.291159951016102,0.8333333333333334,0.3726779962499649,359.33391132354734,95.42595954051818,285.2936420440674,Weak
4,30,3.566666666666667,4.176787707743304,4.6,3.808761828556187,432.59538671175636,162.1410544488601,877.4313023090363,Weak
5,30,9.3,6.623946457110494,2.2,1.1075498483890769,404.7844965616862,129.7464974852292,501.08892595767975,Weak
6,30,10.033333333333333,9.785987714868416,1.2666666666666666,0.7272474743090478,440.13539733886716,82.10716966405032,343.6504076719284,Weak
7,30,8.666666666666666,10.231758836528982,1.1,0.7000000000000001,387.46965478261313,88.10660478063502,318.08472740650177,Weak
8,30,11.666666666666666,8.719072325782271,0.8333333333333334,0.3726779962499649,414.8579108556112,72.80084387951081,282.08695697784424,Weak
